Latitude,Longitude
-21.155304,14.545998
-21.153909,14.542127
-21.154902,14.538126
-21.157882,14.542089
-21.161760,14.539308
-21.151903,14.532479
-21.162311,14.528678
-21.165391,14.541692
-21.164301,14.544731
-21.167256,14.546718
-21.160885,14.541929
-21.167960,14.534099
-21.166233,14.536993
-21.169377,14.536465
-21.160806,14.529950
-21.161720,14.530324
-21.167738,14.528911
-21.166287,14.534971
-21.196808,14.522157
-21.201053,14.523552
-21.197735,14.522110
-21.199863,14.525393
-21.199965,14.519879
-21.202149,14.520090
-21.207859,14.527857
-21.208329,14.524114
-21.206494,14.525027
-21.203622,14.524515
-21.198095,14.524732
-21.199998,14.518322
-21.200877,14.522630
-21.201579,14.525614
-21.203164,14.521170
-21.201918,14.518856
-21.199533,14.518410
-21.203028,14.521311
-21.200471,14.525353
-21.198379,14.519116
-21.199859,14.522703
-21.197740,14.534613
-21.199877,14.528340
-21.209755,14.547860
-21.204061,14.541065
-21.210964,14.551280
-21.212687,14.554378
-21.206808,14.546220
-21.219238,14.532480
-21.223022,14.528378
-21.195200,14.528799
-21.196418,14.535870
-21.185443,14.536131
-21.181036,14.536003
-21.196013,14.536886
-21.183436,14.539918
-21.184636,14.538559
-21.179211,14.553998
-21.176921,14.539509
-21.189174,14.526135
-21.084483,14.471151
-21.074694,14.487201
-21.080655,14.499311
-21.084872,14.495855
-21.081034,14.491655
-21.088242,14.493908
-21.084428,14.486791
-21.085181,14.496957
-21.085807,14.494176
-21.087026,14.487354
-21.085328,14.489045
-21.082404,14.492701
-21.094097,14.471832
-21.095248,14.475203
-21.095063,14.473368
-21.097108,14.478582
-21.095098,14.478131
-21.091091,14.487457
-21.095718,14.481861
-21.102014,14.482160
-21.100330,14.486459
-21.098420,14.487294
-21.098323,14.487147
-21.102424,14.498185
-21.097406,14.491660
-21.097507,14.507709
-21.105392,14.489759
-21.098238,14.497539
-21.098535,14.491551
-21.101722,14.491936
-21.102557,14.495310
-21.104699,14.492077
-21.100607,14.504255
-21.094446,14.502648
-21.092226,14.501870
-21.089104,14.491821
-21.089974,14.490467
-21.093155,14.493930
-21.089447,14.494770
-21.090269,14.496250
-21.096584,14.505196
-21.090729,14.500795
-21.092990,14.504784
-21.090747,14.507972
-21.096543,14.512401
-21.089477,14.511888
-21.091930,14.511897
-21.089464,14.512642
-21.097573,14.512535
-21.099613,14.510377
-21.094729,14.510045
-21.102144,14.527532
-21.101500,14.525499
-21.105503,14.524001
-21.098649,14.527965
-21.099500,14.509161
-21.100746,14.512410
-21.097730,14.516915
-21.096321,14.479077
-21.099008,14.464127
-21.104312,14.472341
-21.101594,14.467943
-21.097625,14.467280
-21.097710,14.461022
-21.095509,14.474635
-21.105113,14.470797
-21.105360,14.473898
-21.100156,14.476842
-21.097555,14.475456
-21.114644,14.472373
-21.118136,14.481831
-21.107095,14.493459
-21.112348,14.487311
-21.110981,14.486224
-21.122548,14.499670
-21.118568,14.506886
-21.117523,14.503727
-21.130058,14.503480
-21.110021,14.507610
-21.108449,14.508259
-21.109233,14.508528
-21.112196,14.499643
-21.110374,14.503234
-21.113115,14.516175
-21.110060,14.517962
-21.120028,14.511081
-21.117691,14.532858
-21.121004,14.527831
-21.115953,14.519014
-21.118261,14.521295
-21.119286,14.523510
-21.122337,14.526103
-21.118530,14.520447
-21.117591,14.527790
-21.122659,14.519617
-21.117865,14.518708
-21.115630,14.528184
-21.116239,14.533266
-21.118126,14.536177
-21.117018,14.524587
-21.123699,14.537641
-21.117285,14.533091
-21.122669,14.529101
-21.115929,14.529342
-21.118634,14.534175
-21.124368,14.530464
-21.121937,14.530275
-21.117416,14.544975
-21.121009,14.547145
-21.120829,14.537843
-21.111499,14.538511
-21.122629,14.542875
-21.117820,14.542632
-21.108843,14.543208
-21.111479,14.540119
-21.121703,14.543505
-21.112111,14.540056
-21.108969,14.542103
-21.110671,14.546587
-21.113502,14.542992
-21.130014,14.534963
-21.132431,14.533087
-21.107047,14.531487
-21.113667,14.535550
-21.113676,14.537145
-21.116978,14.536541
-21.119400,14.537261
-21.111797,14.528985
-21.107809,14.534360
-21.112137,14.537032
-21.109694,14.533250
-21.114383,14.547280
-21.108116,14.541091
-21.110597,14.535720
-21.112763,14.532753
-21.114372,14.529295
-21.108627,14.531487
-21.110606,14.544869
-21.110720,14.539149
-21.115059,14.538609
-21.112029,14.533380
-21.114118,14.531957
-21.111675,14.529788
-21.115293,14.537148
-21.111414,14.528978
-21.103532,14.530925
-21.103097,14.534848
-21.103248,14.531595
-21.102900,14.536591
-21.103901,14.535192
-21.103843,14.534348
-21.101830,14.532560
-21.104914,14.531622
-21.098944,14.529706
-21.099166,14.521286
-21.108964,14.522269
-21.115028,14.518939
-21.110009,14.523435
-21.108981,14.521368
-21.108726,14.519598
-21.113905,14.527357
-21.112901,14.518890
-21.107127,14.519848
-21.114288,14.521320
-21.109520,14.525874
-21.105553,14.526166
-21.097396,14.525218
-21.105263,14.526734
-21.098167,14.525803
-21.100120,14.523589
-21.102712,14.522106
-21.101304,14.518695
-21.104296,14.512166
-21.105444,14.510598
-21.118037,14.546392
-21.072972,14.496668
-21.082486,14.506970
-21.087124,14.503116
-21.084615,14.508558
-21.079785,14.503829
-21.086466,14.500179
-21.079484,14.500152
-21.088197,14.502071
-21.075711,14.509033
-21.075720,14.503142
-21.071767,14.501070
-21.076795,14.509636
-21.078845,14.517023
-21.073541,14.512807
-21.054913,14.519320
